Date,Daily_Cases,Recoveries,Deaths,Current_ICU___Active,Non_ICU_Hospitalizations___Acti,Active_Cases__not_hospitalized_,Positivity_Rate,Daily_Tests,First_Doses,Second_Doses,Cumulative_First_Doses,Cumulative_Second_Doses,Response_Level,Unemployment_Rate,Gatherings,Care_Facilities,K-12_Schools,Child_Care_Facilities,Retail/Personal_Service,Recreation_Facilities,Theatres,Indoor_Mask_Mandate,MB_Travel_Quarantine,Total_Non_Resident_Travellers (Monthly),Total_CAN_Travellers_Returning_Abroad (Monthly),Daily_Alpha_%_Of_Total_Variant,Daily_Beta_%_Of_Total,Gamma %,Uncategorized %,Kappa %,Delta %
2021-02-09 - 2021-02-15,0.179031269,0.094020308,0.184782609,0.216019417,0.254070054,0.182987715,0.371970495,0.340142258,0.010204425,0.032225345,0.026114286,0.014285714,1,0.134615385,1,1,1,1,1,1,1,1,0.5,0.092554819,0.006125753,,,,,,
2021-02-16 - 2021-02-22,0.17933783,0.180142911,0.119565217,0.298543689,0.228909719,0.143682567,0.390937829,0.374320627,0.044634538,0.031658522,0.027228571,0.018157143,1,0.134615385,1,1,1,1,1,1,1,1,0.5,0.092554819,0.006125753,,,,,,
2021-02-23 - 2021-03-01,0.120835888,0.079635201,0.164855073,0.257686084,0.218138464,0.138767865,0.281700035,0.388023588,0.123491508,0.024140667,0.033216667,0.021416667,1,0.134615385,1,1,1,1,1,1,1,1,0.5,0.092554819,0.006125753,,,,,,
2021-04-01 - 2021-04-07,0.188841202,0.136141407,0.108695652,0.25,0.225456339,0.154752333,0.339304531,0.395987598,0.489632798,0.0362468,0.131185714,0.049857143,1,0.25,1,1,1,1,1,1,1,1,0.5,0.136919939,0.017516736,0.958333333,0,0,0.041666667,0,0
2021-04-08 - 2021-04-14,0.27345187,0.104550583,0.076086957,0.269417476,0.193389245,0.163914808,0.407797682,0.540178734,0.653812908,0.009904476,0.169171429,0.052057143,1,0.25,1,1,1,1,1,1,1,1,0.5,0.136919939,0.017516736,0.88878,0,0,0.11122,0,0
2021-04-15 - 2021-04-21,0.363274065,0.213238059,0.130434783,0.286407767,0.202762703,0.194711943,0.410958904,0.669998176,0.794003076,0.013192045,0.214157143,0.0534,1,0.25,1,1,1,1,1,1,1,1,0.5,0.136919939,0.017516736,0.90844,0,0.00538,0.08618,0,0
2021-04-22 - 2021-04-28,0.475475169,0.205716435,0.097826087,0.351941747,0.238283177,0.220983938,0.511064278,0.758343972,0.835415755,0.021443786,0.271814286,0.0553,1,0.25,1,1,1,1,1,1,1,1,0.5,0.136919939,0.017516736,0.82406,0,0.01166,0.16426,0,0
2021-04-29 - 2021-05-05,0.621091355,0.300112824,0.152173913,0.495145631,0.310804144,0.279698573,0.578503688,0.802334488,0.62743183,0.014886546,0.315685714,0.057614286,1,0.222527473,1,1,1,1,1,1,1,1,0.5,0.103045094,0.021715169,0.73294,0.00254,0.01058,0.25394,0,0
2021-05-06 - 2021-05-12,1,0.440203084,0.141304348,0.766990291,0.402565368,0.368892462,0.812434141,1,0.941097228,0.038693087,0.365542857,0.061185714,1,0.211538462,1,1,1,1,1,1,1,1,0.5,0.089495156,0.023394542,0.43136,-0.0008,0.0066,0.56282,0,0
2021-05-13 - 2021-05-19,0.984978541,0.51523129,0.206521739,1,0.503700049,0.43996709,0.919915701,0.841583075,0.94781037,0.049170351,0.428885714,0.066257143,1,0.211538462,1,1,1,1,1,1,1,1,0.5,0.089495156,0.023394542,0.46182,0.00422,0.01216,0.50394,0.0119,0.010425
2021-05-20 - 2021-05-26,0.826486818,0.512410681,0.217391304,0.927184466,0.635421806,0.475438957,1,0.745504286,1,0.075381412,0.490928571,0.074085714,1,0.211538462,1,1,1,1,1,1,1,1,0.5,0.089495156,0.023394542,0.38628,0.00118,0.01368,0.59886,0,0
2021-05-27 - 2021-06-02,0.694972409,0.454682211,0.326086957,0.900485437,0.645781944,0.448774285,0.869336143,0.68356739,0.70535143,0.18393685,0.547185714,0.090771429,1,0.233516483,1,1,1,1,1,1,1,1,0.5,0.071671402,0.024853055,0.55894,0.00258,0.01072,0.42776,0,0
2021-06-03 - 2021-06-09,0.525137952,0.414441519,0.27173913,0.822815534,0.625061667,0.404663513,0.845100105,0.524129127,0.59058813,0.268124892,0.587971429,0.118885714,1,0.288461538,1,1,1,1,1,1,1,1,0.5,0.027112018,0.028499336,-0.092,0.001675,0.03635,1.00225,0.028,0.0238
2021-06-10 - 2021-06-16,0.385652974,0.39338097,0.25,0.735436893,0.503206709,0.315376129,0.744994731,0.450921029,0.336252091,0.471548499,0.616557143,0.164057143,1,0.288461538,1,1,1,1,1,1,1,1,1,0.027112018,0.028499336,0.46198,0.00534,0.03098,0.47508,0.00298,0.02366
2021-06-17 - 2021-06-23,0.236358063,0.254795036,0.163043478,0.660194175,0.343857918,0.219338432,0.550052687,0.385664782,0.190909193,0.728348876,0.631457143,0.2353,1,0.288461538,1,1,1,1,1,1,1,1,1,0.027112018,0.028499336,0.48484,0.02928,0.04462,0.33086,0.00088,0.10954
2021-06-24 - 2021-06-30,0.167075414,0.199135013,0.130434783,0.52184466,0.243216576,0.163297743,0.441517387,0.306766369,0.279594517,1,0.646557143,0.348028571,0.5,0.288461538,0.666666667,0.666666667,0,0.666666667,0.333333333,0.666666667,1,1,1,0.027112018,0.028499336,0.62696,0.009,0.00644,0.2392,0,0.11838
2021-07-01 - 2021-07-07,0.123237278,0.084430237,0.097826087,0.373786408,0.201282684,0.120028422,0.409905163,0.253219041,0.201933116,0.667812244,0.662428571,0.448942857,0.5,0,0.666666667,0.666666667,0.909090909,0.666666667,0.333333333,0.666666667,1,1,1,0.047764746,0.016831236,0.5162,0.001425,0.015775,0.252125,0,0.214475
2021-07-08 - 2021-07-14,0.108828939,0.067882663,0.043478261,0.276699029,0.16872225,0.123768208,0.319283456,0.289257706,0.166346726,0.375111127,0.674471429,0.509357143,0.5,0,0.666666667,0.666666667,0.909090909,0.666666667,0.333333333,0.666666667,1,1,1,0.047764746,0.016831236,0.34206,0,0.04864,0.5171,0,0.09218
2021-07-15 - 2021-07-21,0.088289393,0.135013163,0.076086957,0.223300971,0.125308337,0.11292283,0.233930453,0.294109064,0.143052796,0.296597276,0.684714286,0.549657143,0.5,0,0.666666667,0.666666667,0.909090909,0.666666667,0.333333333,0.666666667,1,1,1,0.047764746,0.016831236,-0.07672,0,0.0039,0.78638,0,0.28648
2021-07-22 - 2021-07-28,0.071122011,0.045317789,0.065217391,0.17961165,0.11149482,0.068531573,0.192834563,0.301076053,0.156894442,0.349192427,0.693885714,0.587071429,0.5,0,0.666666667,0.666666667,0.909090909,0.666666667,0.333333333,0.666666667,1,1,1,0.047764746,0.016831236,0.07072,0,0,0.7999,0,0.12936
2021-07-29 - 2021-08-01,0.064684243,0.036855961,0.101449275,0.181229774,0.107054761,0.068674932,0.161222339,0.29193264,0.170706152,0.410655863,0.701466667,0.619,0.5,0,0.666666667,0.666666667,0.909090909,0.666666667,0.333333333,0.666666667,1,1,1,0.047764746,0.016831236,0.32525,0,0,0.5644,0,0.11035
