Date,Daily_Cases,Recoveries,Deaths,Current_ICU___Active,Non_ICU_Hospitalizations___Acti,Active_Cases__not_hospitalized_,Positivity_Rate,Daily_Tests,First_Doses,Second_Doses,Cumulative_First_Doses,Cumulative_Second_Doses,Response_Level,Unemployment_Rate,Gatherings,Care_Facilities,K-12_Schools,Child_Care_Facilities,Retail/Personal_Service/Restaurants/Beverage_Rooms,Recreation_Facilities,Theatres/Casinos,Indoor_Mask_Mandate,MB_Travel_Quarantine,Total_Non_Resident_Travellers (Monthly),Total_CAN_Travellers_Returning_Abroad (Monthly),Daily_Alpha_%_Of_Total_Variant,Daily_Beta_%_Of_Total,Gamma %,Uncategorized %,Kappa %,Delta %
2021-01-12 - 2021-01-18,170.1428571,146.7142857,5,18.71428571,109,2471,10.27142857,1869.142857,1363.714286,143.5714286,1.12,0.154285714,39,8,46,50,54,58,62,66,69,72,74,3423,4582,,,,,,
2021-01-19 - 2021-01-25,170.1428571,100.1428571,4.428571429,21.28571429,114.5714286,2913.285714,10.02857143,1828,1354.857143,308.2857143,1.91,0.248571429,39,8,46,50,54,58,62,66,69,72,74,3423,4582,,,,,,
2021-01-26 - 2021-02-01,120.2857143,123.8571429,3.142857143,21.42857143,89.42857143,3069,8.085714286,1785.428571,634.8571429,835.8571429,2.41,0.564285714,39,7.828571429,46,50,54,58,62,66,69,72,74,3317.142857,4455.285714,,,,,,
2021-02-02 - 2021-02-08,85.28571429,320.5714286,3.714285714,17.71428571,89,2506.428571,6.171428571,1704.714286,156.2857143,861.2857143,2.528571429,0.951428571,39,6.8,46,50,54,58,62,66,69,72,74,2682,3695,,,,,,
2021-02-09 - 2021-02-15,84.28571429,71.42857143,2.428571429,12.71428571,73.57142857,1400,5.257142857,1617.142857,129.8571429,771.5714286,2.611428571,1.428571429,39,6.8,46,50,54,58,62,66,69,72,74,2682,3695,,,,,,
2021-02-16 - 2021-02-22,84.42857143,136.8571429,1.571428571,17.57142857,66.28571429,1099.714286,5.514285714,1751,568,758,2.722857143,1.815714286,39,6.8,46,50,54,58,62,66,69,72,74,2682,3695,,,,,,
2021-02-23 - 2021-03-01,57.16666667,60.5,2.166666667,15.16666667,63.16666667,1062.166667,4.033333333,1804.666667,1571.5,578,3.321666667,2.141666667,39,6.8,46,50,54,58,62,66,69,72,74,2682,3695,,,,,,
2021-04-01 - 2021-04-07,88.85714286,103.4285714,1.428571429,14.71428571,65.28571429,1184.285714,4.814285714,1835.857143,6230.857143,867.8571429,13.11857143,4.985714286,39,7.4,46,50,54,58,62,66,69,72,74,3204,4476,95.83333333,0,0,4.166666667,0,0
2021-04-08 - 2021-04-14,128.2857143,79.42857143,1,15.85714286,56,1254.285714,5.742857143,2400.571429,8320.142857,237.1428571,16.91714286,5.205714286,39,7.4,46,50,54,58,62,66,69,72,74,3204,4476,88.878,0,0,11.122,0,0
2021-04-15 - 2021-04-21,170.1428571,162,1.714285714,16.85714286,58.71428571,1489.571429,5.785714286,2909,10104.14286,315.8571429,21.41571429,5.34,39,7.4,46,50,54,58,62,66,69,72,74,3204,4476,90.844,0,0.538,8.618,0,0
2021-04-22 - 2021-04-28,222.4285714,156.2857143,1.285714286,20.71428571,69,1690.285714,7.142857143,3255,10631.14286,513.4285714,27.18142857,5.53,39,7.4,46,50,54,58,62,66,69,72,74,3204,4476,82.406,0,1.166,16.426,0,0
2021-04-29 - 2021-05-05,290.2857143,228,2,29.14285714,90,2138.857143,8.057142857,3427.285714,7984.428571,356.4285714,31.56857143,5.761428571,39,7.257142857,46,50,54,58,62,66,69,72,74,2805.428571,4763.857143,73.294,0.254,1.058,25.394,0,0
2021-05-06 - 2021-05-12,466.8571429,334.4285714,1.857142857,45.14285714,116.5714286,2820.285714,11.22857143,4201.428571,11976,926.4285714,36.55428571,6.118571429,39,7.2,46,50,54,58,62,66,69,72,74,2646,4879,43.136,-0.08,0.66,56.282,0,0
2021-05-13 - 2021-05-19,459.8571429,391.4285714,2.714285714,58.85714286,145.8571429,3363.285714,12.68571429,3581,12061.42857,1177.285714,42.88857143,6.625714286,39,7.2,46,50,54,58,62,66,69,72,74,2646,4879,46.182,0.422,1.216,50.394,1.19,1.0425
